                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.347,                 4.3122,                 4.2108,                0.00221,                0.54167,                0.00418,                0.00108,                 2.8617,                 4.4785,                 4.1414,             0.00051677,             0.00051677,             0.00051677
                      1,                 3.1445,                 4.0829,                  4.035,                0.00212,                  0.625,                 0.0032,                0.00085,                 2.8939,                 4.1946,                 4.1459,              0.0010398,              0.0010398,              0.0010398
                      2,                 2.9783,                 3.9102,                 3.6951,                0.00343,                0.29167,                0.00379,                  0.001,                 3.1233,                   4.16,                 5.4039,              0.0015523,              0.0015523,              0.0015523
                      3,                 2.9218,                 3.7339,                 3.4733,                0.08625,                0.02778,                0.02105,                0.00665,                 2.8119,                 4.2913,                 4.4625,              0.0016175,              0.0016175,              0.0016175
                      4,                 2.7816,                 3.4478,                 3.2481,                0.51736,                0.15278,                0.07327,                0.01883,                 2.6761,                 32.221,                 4.5138,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.6749,                  3.399,                 3.1455,                0.10958,                0.04167,                0.02796,                0.00768,                 2.8119,                 6.0124,                 3.6009,               0.001601,               0.001601,               0.001601
                      6,                 2.4905,                 3.2786,                 3.0267,                 0.1037,                0.09722,                0.06408,                0.01991,                 2.3081,                 3.7061,                 3.1521,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.4219,                  3.145,                 2.9198,                0.21829,                0.15278,                0.13094,                0.04257,                 2.2891,                 4.5235,                 3.0688,               0.001568,               0.001568,               0.001568
                      8,                 2.4113,                 3.0187,                 2.9287,                0.17693,                0.16462,                0.13556,                0.04348,                 2.3292,                 3.1932,                 3.0374,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.3424,                 2.9207,                 2.8655,                0.20111,                  0.375,                0.13319,                0.04539,                 2.3669,                 4.2311,                  3.007,               0.001535,               0.001535,               0.001535
                     10,                 2.2958,                 2.9143,                 2.8368,                0.66113,                0.19444,                 0.2231,                0.07284,                 2.1138,                 3.1067,                 2.8212,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.2407,                 2.8049,                 2.7722,                0.14703,                0.43056,                0.11008,                 0.0364,                 2.1977,                 5.8527,                 2.9715,               0.001502,               0.001502,               0.001502
                     12,                   2.19,                 2.6841,                 2.7829,                0.68028,                0.27778,                 0.2629,                0.10204,                 2.1879,                 3.2281,                 2.9847,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.1887,                 2.6751,                  2.775,                0.19187,                0.31944,                0.17901,                0.06411,                 2.2937,                 3.4719,                 2.9823,               0.001469,               0.001469,               0.001469
                     14,                 2.1308,                 2.6217,                 2.6932,                0.17576,                  0.483,                0.18798,                0.07485,                 2.0991,                 4.1824,                 2.9024,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.1369,                  2.656,                 2.6728,                0.23941,                0.20855,                0.24598,                0.08611,                 1.9831,                 2.7667,                   2.76,               0.001436,               0.001436,               0.001436
                     16,                 2.0636,                 2.5725,                 2.6365,                0.27692,                0.31944,                0.27297,                0.12788,                 2.0203,                 3.0835,                 2.6711,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.0161,                 2.5206,                 2.5856,                0.35523,                0.26389,                0.28809,                0.10179,                 2.3407,                 2.9118,                 2.9718,              0.0014029,              0.0014029,              0.0014029
